,id,lonlat,tags.power,tags.operator,tags.substation,tags.designation,tags.barrier,tags.addr:city,Type,tags.voltage,tags.name,tags.location,tags.area,tags.branch,tags.rating,tags.frequency,tags.source,tags.building,tags.building:levels,tags.name:ar,tags.note,tags.fixme,tags.name:fr,tags.phases,tags.man_made,tags.street_cabinet,tags.operator:ar,tags.operator:fr,tags.operator:wikidata,tags.operator:wikipedia,tags.wall,tags.height,tags.name:en,tags.building:colour,tags.level,tags.ref,tags.brand,tags.addr:city:ar,tags.substance,tags.gas_insulated,tags.landuse,tags.addr:postcode,tags.addr:suburb,tags.transformer,tags.brand:ar,tags.brand:wikidata,tags.brand:wikipedia,tags.sub,Country,tags.access,tags.disused,tags.addr:street,tags.name:de,tags.name:es,tags.name:it,tags.name:ja,tags.name:nl,tags.name:pl,tags.name:pt,tags.name:ru,tags.name:zh-Hans,tags.name:zh-Hant,tags.alt_name,tags.fence_type,tags.short_name,tags.opening_hours,tags.amenity,tags.project:eurosha_2012,tags.source:date,tags.source_date,tags.building:material,tags.building:condition,tags.proposed,tags.wikidata,tags.wikipedia,tags.generator:output:electricity,tags.roof:shape,tags.description,tags.website,tags.start_date,tags.image,tags.wb_pb:id,tags.wheelchair,tags.is_in:village,tags.operator_type,tags.notes,tags.owner,tags.address,tags.voltage:primary,tags.voltage:secondary,tags.generator:source,tags.operator:website,tags.operator:wikipedia:ar,tags.FIXME,tags.construction,tags.source:voltage,tags.historic,tags.building:prefabricated,tags.surface,tags.emergency_phone,tags.addr:housenumber,tags.phone,tags.source:power,tags.operator:type,tags.industrial,tags.cables,tags.key
134,217930454.0,[ 6.05950802 31.78770608],substation,,,,wall,,Way,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,310510674.0,[-2.26426911 31.58292056],substation,,,,,,Way,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,93235592.0,[-1.86271842 35.08705612],substation,Sonelgaz,transmission,,,,Way,220000,Poste électrique de Ghazaouet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,226912498.0,[ 7.36218298 35.76342594],substation,,transmission,,,,Way,400000;220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,383755661.0,[ 6.02179709 31.76050849],substation,,transmission,,,,Way,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,218403170.0,[ 5.40503474 34.73669646],substation,KDL,,,,,Way,66000,محطة تخفيض الضغط,,,SONELGAZ,,50,,,,محطة تخفيض الضغط,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,383754584.0,[ 5.99250822 31.80594592],substation,,,,,,Way,400000;220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,616372479.0,[ 6.7063953  36.23280214],substation,,distribution,,wall,,Way,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,175281811.0,[ 6.62748399 36.33777814],substation,,distribution,,,,Way,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,174512286.0,[ 6.3375381  36.24726403],substation,,,,,,Way,400000;220000;66000,Centrale Electrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,686568826.0,[ 6.96551544 36.88338344],substation,,industrial,,,,Way,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,174347010.0,[ 1.19831836 36.08706424],substation,,transmission,,,,Way,220000,Centrale Electrique de Oued Sly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,317645604.0,[ 5.4112153  34.74800873],substation,KDL,transmission,,wall,,Way,220000,Tolga transformer station,,,SONELGAZ,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,381266492.0,[-0.91536594 35.57265838],substation,,transmission,,,,Way,60000,Poste électrique de Boutelilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,518376807.0,[ 7.32215555 33.70238315],substation,,,,wall,,Way,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,171540563.0,[ 9.49066389 30.14927943],substation,,,,,,Way,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,381467892.0,[ 0.39731576 36.09139694],substation,,,,wall,,Way,60000,Sidi Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,695838045.0,[ 5.97818844 31.89252852],substation,,industrial,,,,Way,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,385103033.0,[ 6.30464064 35.4881922 ],substation,,,,,,Way,220000;66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,254853839.0,[ 3.95025686 36.33612391],substation,,transmission,,wall,,Way,220000,Bouira,outdoor,,,,,,,,,,,,,,,,,,,dry_stone,3,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,371593266.0,[ 2.83991008 36.64957273],substation,,transmission,,wall,,Way,220000;60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,694205380.0,[ 5.7231761  34.98114808],substation,,industrial,,,,Way,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,97512985.0,[ 2.92024921 36.59170187],substation,,,,wall,,Way,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,310628318.0,[ 5.06931148 34.43206358],substation,SONELGAZ,,,,,Way,30000,,,,,,50,,yes,1,,,,,3,street_cabinet,power,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,533163474.0,[ 6.98301433 34.50463469],substation,,transmission,,,,Way,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,174419698.0,[ 5.46704095 36.18088268],substation,,,,,,Way,220000;66000,Poste électrique,,,,,,,,,محطة فرعية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,226879630.0,[ 4.44232988 35.87844724],substation,,industrial,,,,Way,220000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,687041562.0,[ 6.95829134 36.85674468],substation,,industrial,,,,Way,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,695610586.0,[ 8.17349894 35.23283252],substation,,industrial,,,,Way,90000,,indoor,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,382951210.0,[ 6.8679539 33.3274943],substation,,,,wall,,Way,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,695736119.0,[ 7.93981853 36.24093387],substation,,,,,,Way,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,687041564.0,[ 6.95024333 36.87693771],substation,,industrial,,,,Way,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,292262673.0,[ 5.33903658 31.9187387 ],substation,SONELGAZ,,,,,Way,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,637266751.0,[ 6.71212618 29.68538994],substation,,industrial,,wall,,Way,220000;66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,376298283.0,[ 5.42728007 36.18966653],substation,,,,,,Way,66000,Centrale électrique,,,,,,,,,محطة كهرباء,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,174342293.0,[-0.27867442 35.5313984 ],substation,,industrial,,,,Way,220000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
