,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,geometry,country
738,167920552-2,,225000,False,substation,True,transmission,112410.0,-5.595593069328538,34.09754982354753,POINT (-5.595593069328538 34.09754982354753),morocco
739,547146060-1,,400000,False,substation,True,transmission,151930.0,-10.973308167165587,28.48466514089803,POINT (-10.97330816716559 28.48466514089803),morocco
740,320483882-1,,225000,False,substation,True,transmission,42940.0,-8.974912467622154,32.26679862011526,POINT (-8.974912467622154 32.26679862011526),morocco
741,361346093-1,,220000,False,substation,True,transmission,27210.0,37.670627857190595,-15.653434385405264,POINT (37.6706278571906 -15.65343438540526),mozambique
743,179839396-1,,400000,False,substation,True,transmission,235500.0,32.38013786959473,-25.89369274491478,POINT (32.38013786959473 -25.89369274491478),mozambique
744,179839396-2,,132000,False,substation,True,transmission,235500.0,32.38013786959473,-25.89369274491478,POINT (32.38013786959473 -25.89369274491478),mozambique
745,666435753-1,,400000,False,substation,True,transmission,17580.0,32.00563084141885,-25.467209059019414,POINT (32.00563084141885 -25.46720905901941),mozambique
746,666435754-1,,400000,False,substation,True,transmission,43010.0,32.00601110081288,-25.46353306410417,POINT (32.00601110081288 -25.46353306410417),mozambique
747,666435754-2,,275000,False,substation,True,transmission,43010.0,32.00601110081288,-25.46353306410417,POINT (32.00601110081288 -25.46353306410417),mozambique
756,179856837-1,,275000,False,substation,True,transmission,73530.0,32.54528797216175,-25.883168017235356,POINT (32.54528797216175 -25.88316801723536),mozambique
757,666203388-1,,220000,False,substation,True,transmission,26780.0,34.72476465420125,-19.616371121604196,POINT (34.72476465420125 -19.6163711216042),mozambique
762,237918516-1,,220000,False,substation,True,transmission,7070.0,33.215158274577,-18.009931194153918,POINT (33.215158274577 -18.00993119415392),mozambique
766,211935323-1,,220000,False,substation,True,transmission,29470.0,35.40525317438479,-17.78124707160454,POINT (35.40525317438479 -17.78124707160454),mozambique
768,666278332-1,,220000,False,substation,True,transmission,46220.0,33.033147609570086,-15.868108312760487,POINT (33.03314760957009 -15.86810831276049),mozambique
771,387162360-1,,220000,False,substation,True,transmission,34810.0,33.32462512251833,-19.07040845816396,POINT (33.32462512251833 -19.07040845816396),mozambique
773,276755476-1,,220000,False,substation,True,transmission,26520.0,37.02639053581001,-16.82267822951699,POINT (37.02639053581001 -16.82267822951699),mozambique
775,179856839-1,,275000,False,substation,True,transmission,37450.0,32.48439175052946,-25.93677013690476,POINT (32.48439175052946 -25.93677013690476),mozambique
779,179821088-1,,220000,False,substation,True,transmission,41760.0,33.50442632838387,-16.295697733674725,POINT (33.50442632838387 -16.29569773367473),mozambique
781,823576009-1,,400000,False,substation,True,transmission,32070.0,33.114089351390135,-24.9840718243529,POINT (33.11408935139013 -24.9840718243529),mozambique
784,179859644-1,,220000,False,substation,True,transmission,51020.0,39.21802283097196,-15.12460018303542,POINT (39.21802283097196 -15.12460018303542),mozambique
786,108562208-1,,220000,False,substation,True,transmission,14580.0,14.726440937136863,-22.918252414206922,POINT (14.72644093713686 -22.91825241420692),namibia
787,197867606-1,,132000,False,substation,True,transmission,8850.0,16.29001918313481,-18.10851680166179,POINT (16.29001918313481 -18.10851680166179),namibia
789,108549128-1,,220000,False,substation,True,transmission,28550.0,14.736708444798545,-22.768919425847038,POINT (14.73670844479854 -22.76891942584704),namibia
790,191928543-1,,220000,False,substation,True,transmission,33100.0,18.4217760697378,-28.448853664533118,POINT (18.4217760697378 -28.44885366453312),namibia
791,179315356-1,,400000,False,substation,True,transmission,702050.0,17.36332772504359,-22.586910942458758,POINT (17.36332772504359 -22.58691094245876),namibia
792,179315356-2,,220000,False,substation,True,transmission,702050.0,17.36332772504359,-22.586910942458758,POINT (17.36332772504359 -22.58691094245876),namibia
793,179315356-3,,132000,False,substation,True,transmission,702050.0,17.36332772504359,-22.586910942458758,POINT (17.36332772504359 -22.58691094245876),namibia
794,89084614-1,,400000,False,substation,True,transmission,189530.0,18.289144085383956,-26.423055028141267,POINT (18.28914408538396 -26.42305502814127),namibia
795,89084614-2,,220000,False,substation,True,transmission,189530.0,18.289144085383956,-26.423055028141267,POINT (18.28914408538396 -26.42305502814127),namibia
796,89084614-3,,132000,False,substation,True,transmission,189530.0,18.289144085383956,-26.423055028141267,POINT (18.28914408538396 -26.42305502814127),namibia
799,546620321-1,,132000,False,substation,True,transmission,25370.0,19.40022856042137,-22.34151779107029,POINT (19.40022856042137 -22.34151779107029),namibia
801,179679495-1,,220000,False,substation,True,transmission,59030.0,17.638035950069668,-19.220724455984378,POINT (17.63803595006967 -19.22072445598438),namibia
802,179679495-2,,132000,False,substation,True,transmission,59030.0,17.638035950069668,-19.220724455984378,POINT (17.63803595006967 -19.22072445598438),namibia
803,555136212-1,,400000,False,substation,True,transmission,103950.0,15.745839808827284,-17.748621101412553,POINT (15.74583980882728 -17.74862110141255),namibia
804,555136212-2,,132000,False,substation,True,transmission,103950.0,15.745839808827284,-17.748621101412553,POINT (15.74583980882728 -17.74862110141255),namibia
805,193465388-1,,220000,False,substation,True,transmission,20110.0,16.60015309480066,-28.546046568567544,POINT (16.60015309480066 -28.54604656856754),namibia
807,557389560-1,,132000,False,substation,True,transmission,15280.0,15.90332014999991,-17.52229595000004,POINT (15.90332014999991 -17.52229595000004),namibia
809,121729808-1,,220000,False,substation,True,transmission,78190.0,16.028076837229968,-21.4967638022579,POINT (16.02807683722997 -21.4967638022579),namibia
813,625375871-1,,132000,False,substation,True,transmission,10700.0,8.949909218922308,13.80077826466404,POINT (8.949909218922308 13.80077826466404),niger
814,256175570-1,,132000,False,substation,True,transmission,15400.0,7.894070616411469,13.509937447462587,POINT (7.894070616411469 13.50993744746259),niger
815,672353000-1,,132000,False,substation,True,transmission,8860.0,2.134587943467282,13.494514867411146,POINT (2.134587943467282 13.49451486741115),niger
