,id,lonlat,tags.power,tags.generator:type,tags.generator:method,tags.generator:source,tags.generator:output:electricity,Type,Country
198,2350849584,"[5.620903700000009, 6.340466099999988]",generator,,,hydro,yes,Node,nigeria
199,7808377974,"[8.273300499999994, 5.189057499999994]",generator,gas_turbine,combustion,gas,112.5 MW,Node,nigeria
200,2344468671,"[5.607657500000064, 6.3446750000000085]",generator,,,,,Node,nigeria
201,2344414268,"[5.604471500000033, 6.333317499999999]",generator,,,,,Node,nigeria
202,2344590803,"[5.581968200000063, 6.328384400000011]",generator,,,,,Node,nigeria
203,7810376003,"[7.031856200000009, 4.816836600000014]",generator,gas_turbine,combustion,gas,12 MW,Node,nigeria
204,2344596630,"[5.6045655000000645, 6.343160000000009]",generator,,,,,Node,nigeria
205,2161110592,"[5.62752350000001, 6.319227599999992]",generator,,,hydro,yes,Node,nigeria
206,7814108837,"[7.573542799999986, 4.56878410000003]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
207,2161110173,"[5.609265200000011, 6.311434699999991]",generator,,,,,Node,nigeria
208,2075846282,"[5.619689499999965, 6.309397699999997]",generator,,,,,Node,nigeria
209,2161110174,"[5.6045225000000105, 6.312106299999991]",generator,,,,,Node,nigeria
210,7804103234,"[7.25331810000001, 4.851549199999972]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
211,7805126096,"[5.680462700000027, 6.410170299999835]",generator,gas_turbine,combustion,gas,153 MW,Node,nigeria
212,7804094434,"[4.71035250000001, 6.736516399999971]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
213,2349477445,"[5.630394100000009, 6.339271099999986]",generator,,,,,Node,nigeria
214,2161110161,"[5.610672600000011, 6.307780799999991]",generator,,,,,Node,nigeria
215,2161072399,"[5.604805900000008, 6.2973267999999925]",generator,,,,,Node,nigeria
216,2161110156,"[5.6041969000000105, 6.30490039999999]",generator,,,,,Node,nigeria
217,2344280082,"[5.6051544000000355, 6.33677]",generator,,dam,hydro,,Node,nigeria
218,2351090150,"[5.624270400000012, 6.335521699999984]",generator,,,,,Node,nigeria
219,2161111055,"[5.634992900000012, 6.333742899999992]",generator,,,hydro,yes,Node,nigeria
220,2161110251,"[5.60275200000001, 6.315586999999992]",generator,,,,,Node,nigeria
221,7804096578,"[4.611854600000009, 9.863608999999972]",generator,kaplan_turbine,run-of-the-river,hydro,yes,Node,nigeria
222,7808382708,"[5.644395099999995, 5.9266706999999945]",generator,gas_turbine,combustion,gas,112.5 MW,Node,nigeria
223,7804096562,"[5.91563880000001, 5.541314399999971]",generator,gas_turbine,combustion,gas,25 MW,Node,nigeria
224,2344426727,"[5.609900700000034, 6.340957799999998]",generator,,,,,Node,nigeria
225,7804103285,"[4.7892784000000095, 9.13970619999997]",generator,kaplan_turbine,run-of-the-river,hydro,96.4 MW,Node,nigeria
226,7808382700,"[5.6449158999999955, 5.925614299999994]",generator,steam_turbine,combustion,gas,120 MW,Node,nigeria
227,7805160141,"[6.66487900000007, 5.384805599999769]",generator,gas_turbine,combustion,gas,112.5 MW,Node,nigeria
228,1994157722,"[5.635163000000002, 6.369953900000015]",generator,,,,,Node,nigeria
229,7804094441,"[4.710674400000009, 6.732132099999972]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
230,7804103206,"[3.3145751000000097, 6.881259999999972]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
231,7804096565,"[5.915892500000009, 5.54155319999997]",generator,gas_turbine,combustion,gas,25 MW,Node,nigeria
232,7804096576,"[4.61267930000001, 9.864163899999971]",generator,kaplan_turbine,run-of-the-river,hydro,yes,Node,nigeria
233,7814063307,"[6.7377036999999875, 5.5656720000000295]",generator,gas_turbine,combustion,gas,112.5 MW,Node,nigeria
234,2160848548,"[5.6025864000000185, 6.300604499999979]",generator,,,,,Node,nigeria
235,7804103314,"[3.6157573000000087, 6.563484699999972]",generator,steam_turbine,combustion,gas,220 MW,Node,nigeria
236,2344540226,"[5.591411900000064, 6.323435400000013]",generator,,,,,Node,nigeria
237,2344328607,"[5.598841400000032, 6.3466477]",generator,,,,,Node,nigeria
238,7804096574,"[4.6123521000000105, 9.86394189999997]",generator,kaplan_turbine,run-of-the-river,hydro,yes,Node,nigeria
239,2344503130,"[5.594194000000063, 6.33259310000001]",generator,,,,,Node,nigeria
240,7808377976,"[8.272654099999995, 5.190085899999994]",generator,gas_turbine,combustion,gas,112.5 MW,Node,nigeria
241,2350849582,"[5.62086270000001, 6.337192899999988]",generator,,,hydro,yes,Node,nigeria
242,7810277125,"[7.321336299999986, 5.066653300000053]",generator,combined_cycle,combustion,gas,yes,Node,nigeria
243,2350879794,"[5.62626150000001, 6.341550199999985]",generator,,,,,Node,nigeria
244,2349477444,"[5.628100300000009, 6.3391587999999865]",generator,,,,,Node,nigeria
245,7804096577,"[4.612842900000009, 9.864274899999971]",generator,kaplan_turbine,run-of-the-river,hydro,yes,Node,nigeria
246,7804096563,"[5.91571190000001, 5.54138329999997]",generator,gas_turbine,combustion,gas,25 MW,Node,nigeria
247,4770511721,"[5.6823677999999935, 6.407365800000013]",generator,gas_turbine,combustion,gas,112.5 MW,Node,nigeria
248,7804103235,"[7.25314650000001, 4.851591899999971]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
249,2161110337,"[5.60464210000001, 6.315828499999991]",generator,,,,,Node,nigeria
250,2350879793,"[5.62445910000001, 6.3412550999999855]",generator,,,,,Node,nigeria
251,7804103207,"[3.3146153000000096, 6.881568599999972]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
252,2344540225,"[5.5925932000000635, 6.320851000000013]",generator,,,,,Node,nigeria
253,2349477443,"[5.629300400000009, 6.338262399999986]",generator,,,,,Node,nigeria
254,2161110182,"[5.6012432000000105, 6.313905599999991]",generator,,,,,Node,nigeria
255,2154572191,"[5.5915939999999855, 6.298652700000001]",generator,,,,,Node,nigeria
256,2344432007,"[5.615721200000032, 6.3377457999999995]",generator,,,,,Node,nigeria
257,2075846290,"[5.617539299999965, 6.3158882999999975]",generator,,,,,Node,nigeria
258,2155735371,"[5.628333999999989, 6.3287363000000045]",generator,,,hydro,yes,Node,nigeria
259,7808382701,"[5.644813499999995, 5.925819699999994]",generator,steam_turbine,combustion,gas,120 MW,Node,nigeria
260,2351090147,"[5.625969800000012, 6.335263399999985]",generator,,,,,Node,nigeria
261,7804096582,"[4.7894409000000095, 9.140422799999971]",generator,kaplan_turbine,run-of-the-river,hydro,96.4 MW,Node,nigeria
262,2155708897,"[5.622400599999989, 6.323865000000001]",generator,,,,,Node,nigeria
263,2160845834,"[5.591806400000018, 6.292972099999979]",generator,,,,,Node,nigeria
264,2155708895,"[5.615600399999988, 6.320974400000001]",generator,,,,,Node,nigeria
265,7804096559,"[5.91525500000001, 5.54000859999997]",generator,gas_turbine,combustion,gas,100 MW,Node,nigeria
266,2349424021,"[5.625902400000008, 6.354656499999987]",generator,,,,,Node,nigeria
267,4770511681,"[5.683093999999993, 6.406235200000014]",generator,gas_turbine,combustion,gas,112.5 MW,Node,nigeria
268,2155735369,"[5.631861799999989, 6.325829800000005]",generator,,dam,hydro,yes,Node,nigeria
269,2160850991,"[5.606949900000019, 6.294948299999979]",generator,,,,,Node,nigeria
270,2344305783,"[5.597106400000034, 6.331215]",generator,,,,,Node,nigeria
271,7804103233,"[7.25313840000001, 4.851236499999971]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
272,7810277124,"[7.321915599999986, 5.067337200000053]",generator,combined_cycle,combustion,gas,yes,Node,nigeria
273,2161072714,"[5.607749000000008, 6.312215699999992]",generator,,,,,Node,nigeria
274,7805160136,"[6.66328900000007, 5.39016819999977]",generator,gas_turbine,combustion,gas,25 MW,Node,nigeria
275,7810376005,"[7.031510200000009, 4.816662800000013]",generator,gas_turbine,combustion,gas,12 MW,Node,nigeria
276,2075846418,"[5.6103253999999625, 6.322171999999997]",generator,,,,,Node,nigeria
277,2075846407,"[5.621451499999963, 6.310564199999996]",generator,,water-storage,hydro,yes,Node,nigeria
