,id,lonlat,tags.power,tags.substation,Type,Area,tags.voltage,tags.frequency,Country
431,173808767.0,"[-1.3253321952916395, 34.8993916533751]",substation,transmission,Way,95700.0,220000,,algeria
432,382956484.0,"[3.8181558000000297, 32.33230189999972]",substation,,Way,1500.0,,,algeria
437,381724725.0,"[-0.29041491028350114, 35.80668572150301]",substation,,Way,4450.0,,,algeria
438,377549132.0,"[2.565098150000007, 36.166497850000546]",substation,transmission,Way,13020.0,,,algeria
440,382966861.0,"[4.314722103766038, 36.74461516784164]",substation,,Way,17440.0,,,algeria
443,382871650.0,"[3.2222079532041024, 33.019943871079136]",substation,,Way,2740.0,,,algeria
447,517062077.0,"[3.795094168266139, 35.855388106988734]",substation,,Way,19540.0,,,algeria
451,377752699.0,"[1.096173900000009, 35.064551500000185]",substation,transmission,Way,14330.0,,,algeria
452,859244188.0,"[0.07345302392262444, 35.57822905347549]",substation,,Way,50.0,,,algeria
453,378842181.0,"[0.3289497430225205, 35.33903693050225]",substation,transmission,Way,22160.0,,,algeria
455,533805088.0,"[2.859896125364266, 36.491573803440836]",substation,minor_distribution,Way,60.0,,,algeria
461,226922540.0,"[2.4995174600370187, 27.180001373296186]",substation,transmission,Way,63190.0,220000,,algeria
462,611220835.0,"[3.16850029687566, 36.5887494946928]",substation,,Way,5120.0,,,algeria
464,217976993.0,"[6.802292500000004, 33.562733400000205]",substation,,Way,88750.0,220000,,algeria
465,380986737.0,"[-1.4079908756453143, 35.03662501197252]",substation,transmission,Way,8180.0,,,algeria
468,382519917.0,"[2.9300293277507894, 36.140804991052086]",substation,,Way,4210.0,,,algeria
470,377450410.0,"[1.7790810780602817, 35.60302303273218]",substation,transmission,Way,8540.0,,,algeria
471,96131015.0,"[3.0847778213451784, 36.67390160036987]",substation,,Way,19920.0,,,algeria
473,380786705.0,"[-1.3634852677389024, 35.27580109203969]",substation,Station_électrique_(transmission),Way,17450.0,,,algeria
474,377716686.0,"[2.0793306397379983, 36.575135962632835]",substation,,Way,10010.0,,,algeria
477,426927600.0,"[7.734095758495879, 35.28442830336928]",substation,,Way,23820.0,66000,,algeria
479,262778513.0,"[8.573791277636456, 31.2278886349179]",substation,,Way,13320.0,220000;66000,,algeria
482,493096168.0,"[5.844500806828667, 32.59938167947441]",substation,,Way,23490.0,,,algeria
483,262778514.0,"[8.091909414082785, 30.669881438946447]",substation,,Way,15440.0,220000,,algeria
485,208934005.0,"[8.12014281797435, 35.41025586258907]",substation,,Way,7930.0,90000,,algeria
486,371240205.0,"[-0.6050304950173715, 35.681808092754544]",substation,transmission,Way,37100.0,,,algeria
487,295804612.0,"[2.4017142999999757, 36.63356640000008]",substation,minor_distribution,Way,350.0,,,algeria
489,340036949.0,"[0.9554025992925256, 36.152827032466]",substation,,Way,17430.0,,,algeria
493,177004925.0,"[7.622999479454062, 36.82431772690948]",substation,,Way,119820.0,,,algeria
494,310628315.0,"[5.066916850000021, 34.428383200000425]",substation,,Way,60.0,30000,50,algeria
495,455821670.0,"[2.858844299999963, 36.49163520000005]",substation,minor_distribution,Way,60.0,,,algeria
498,378515953.0,"[4.017793590347237, 36.726061071157794]",substation,,Way,15280.0,,,algeria
49,770860821.0,"[12.325231583874379, -6.183327188961281]",substation,generation,Way,10780.0,400000,,angola
54,242375988.0,"[13.256906010034207, -8.994443575189496]",substation,minor_distribution,Way,390.0,,,angola
56,202428553.0,"[15.442032832118903, -9.764792178150627]",substation,transmission,Way,85580.0,400000;220000,,angola
57,663890995.0,"[15.088120324408758, -6.069430121237673]",substation,transmission,Way,26130.0,220000;60000,,angola
62,242470883.0,"[13.263363965992749, -8.995380017250998]",substation,minor_distribution,Way,390.0,,,angola
64,455268166.0,"[13.256977199999955, -8.996238099999983]",substation,,Way,110.0,,,angola
96,664452448.0,"[20.354655369519428, -9.486067590493844]",substation,transmission,Way,940.0,60000,,angola
97,203975230.0,"[13.726168700225417, -12.468569482323264]",substation,,Way,1730.0,,,angola
