,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry
15142,15142,6668,132000,False,False,False,False,False,22.996154599999844,-27.44675550000004,south-africa,
15143,15143,12868,132000,False,False,False,False,False,30.38697910000006,-23.486407000000106,south-africa,
15144,15144,12053,275000,False,False,False,False,False,29.85214590000015,-28.760045700000266,south-africa,
15145,15145,12687,132000,False,False,False,False,False,30.280199199999963,-24.312818400000015,south-africa,
15146,15146,10411,132000,False,False,False,False,False,28.4127102,-26.264055900000063,south-africa,
15147,15147,6191,132000,False,False,False,False,False,20.2152434,-28.612700100000023,south-africa,
15148,15148,9108,132000,False,False,False,False,False,27.638057599999968,-26.811988500000147,south-africa,
15149,15149,5886,132000,False,False,False,False,False,18.8592124,-33.80540140000002,south-africa,
15150,15150,6009,132000,False,False,False,False,False,19.674851900000057,-33.54274970000017,south-africa,
15151,15151,12634,275000,False,False,False,False,False,30.222564900000044,-24.720299099999874,south-africa,
15152,15152,11494,400000,False,False,False,False,False,29.357812299999956,-24.04395920000003,south-africa,
15153,15153,8531,132000,False,False,False,False,False,27.190518,-32.305473800000165,south-africa,
15154,15154,9797,275000,False,False,False,False,False,28.10552120000011,-25.75692639999983,south-africa,
15155,15155,11518,132000,False,False,False,False,False,29.38471,-26.104838599999866,south-africa,
15156,15156,14922,275000,False,False,False,False,False,31.984631800000106,-25.433381900000526,south-africa,
15157,15157,6221,132000,False,False,False,False,False,20.5329388,-33.251522999999814,south-africa,
15158,15158,11775,400000,False,False,False,False,False,29.587678300000032,-28.27839130000004,south-africa,
15159,15159,9086,132000,False,False,False,False,False,27.6184139,-26.36550310000005,south-africa,
15160,15160,7471,132000,False,False,False,False,False,25.574743599999938,-33.80103070000011,south-africa,
15161,15161,13738,132000,False,False,False,False,False,30.971029,-24.308554200000014,south-africa,
15162,15162,5861,132000,False,False,False,False,False,18.806915,-33.81879939999987,south-africa,
15163,15163,11961,132000,False,False,False,False,False,29.812922199999853,-23.166540899999934,south-africa,
15164,15164,5855,132000,False,False,False,False,False,18.806520399999933,-33.820557599999844,south-africa,
15165,15165,13521,132000,False,False,False,False,False,30.908031699999913,-29.99312729999982,south-africa,
15166,15166,13437,132000,False,False,False,False,False,30.872025899999937,-22.4881472,south-africa,
15167,15167,12817,132000,False,False,False,False,False,30.365460100000146,-29.643017799999896,south-africa,
15168,15168,7324,132000,False,False,False,False,False,25.439383,-33.92726070000012,south-africa,
15169,15169,5645,400000,False,False,False,False,False,18.537740200000012,-33.8827221000001,south-africa,
15170,15170,7859,132000,False,False,False,False,False,26.166413700000014,-29.124245199999965,south-africa,
15171,15171,11293,132000,False,False,False,False,False,29.228124800000067,-25.86461,south-africa,
15172,15172,14108,132000,False,False,False,False,False,31.12674080000006,-23.977159399999923,south-africa,
15173,15173,10274,132000,False,False,False,False,False,28.290808599999984,-25.8472525,south-africa,
15174,15174,5644,400000,False,False,False,False,False,18.537710700000012,-33.67386569999996,south-africa,
15175,15175,9803,132000,False,False,False,False,False,28.10591859999999,-25.75594609999993,south-africa,
15176,15176,13471,132000,False,False,False,False,False,30.882383299999955,-29.860370099999894,south-africa,
15177,15177,13416,132000,False,False,False,False,False,30.863640099999966,-29.860452499999965,south-africa,
15178,15178,14926,132000,False,False,False,False,False,31.987272799999946,-27.548117000000115,south-africa,
15179,15179,12061,275000,False,False,False,False,False,29.852759,-28.760126699999912,south-africa,
15180,15180,9876,132000,False,False,False,False,False,28.1374513,-26.126928700000015,south-africa,
15181,15181,12399,400000,False,False,False,False,False,30.0913542,-25.958814299999933,south-africa,
15182,15182,14043,132000,False,False,False,False,False,31.09491069999984,-29.60489120000011,south-africa,
15183,15183,11670,400000,False,False,False,False,False,29.4899068,-25.801387200000033,south-africa,
15184,15184,9708,275000,False,False,False,False,False,28.079944500000014,-25.802855699999903,south-africa,
15185,15185,10160,132000,False,False,False,False,False,28.267711499999912,-25.715191599999873,south-africa,
15186,15186,10713,132000,False,False,False,False,False,28.685184,-26.178293500000017,south-africa,
15187,15187,8988,132000,False,False,False,False,False,27.562835600000135,-28.907340199999805,south-africa,
